OP-Act: February 17, 2022, 12:22 am Created a log file, "/var/www/html/Logs/02-17-22_53e5f9a.log".
OP-Act: February 17, 2022, 12:22 am, Verified installation.
1OP-Act: February 17, 2022, 12:22 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:22 am, Verified version information.
1OP-Act: February 17, 2022, 12:22 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:22 am, Verified global variables.
1OP-Act: February 17, 2022, 12:22 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:22 am, Verified installation.
1OP-Act: February 17, 2022, 12:22 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:22 am, Verified version information.
1OP-Act: February 17, 2022, 12:22 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:22 am, Verified global variables.
1OP-Act: February 17, 2022, 12:22 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:22 am, Verified installation.
1OP-Act: February 17, 2022, 12:22 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:22 am, Verified version information.
1OP-Act: February 17, 2022, 12:22 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:22 am, Generated tokens.
1OP-Act: February 17, 2022, 12:22 am, Authenticated UserName zelon88, UserID 7, SessionID 3e796f8812ae880a2e268cfc825b9114b341748ae9a422b43d6317b15e00db14.
1OP-Act: February 17, 2022, 12:22 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:22 am, Loaded library data.
1OP-Act: February 17, 2022, 12:22 am, Created user logs.
1OP-Act: February 17, 2022, 12:22 am, Created user cache.
1OP-Act: February 17, 2022, 12:22 am, Created user notifications.
1OP-Act: February 17, 2022, 12:22 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:22 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Verified global variables.
1OP-Act: February 17, 2022, 12:23 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Verified global variables.
1OP-Act: February 17, 2022, 12:23 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Verified global variables.
1OP-Act: February 17, 2022, 12:23 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Verified global variables.
1OP-Act: February 17, 2022, 12:23 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Verified global variables.
1OP-Act: February 17, 2022, 12:23 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:23 am, Verified installation.
1OP-Act: February 17, 2022, 12:23 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:23 am, Verified version information.
1OP-Act: February 17, 2022, 12:23 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:23 am, Generated tokens.
1OP-Act: February 17, 2022, 12:23 am, Authenticated UserName zelon88, UserID 7, SessionID dc92f1650a6430a695f8c99f104e8e2a3c55715c07c79dfc5153cad408716daf.
1OP-Act: February 17, 2022, 12:23 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:23 am, Loaded library data.
1OP-Act: February 17, 2022, 12:23 am, Created user logs.
1OP-Act: February 17, 2022, 12:23 am, Created user cache.
1OP-Act: February 17, 2022, 12:23 am, Created user notifications.
1OP-Act: February 17, 2022, 12:23 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:23 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:24 am, Verified installation.
1OP-Act: February 17, 2022, 12:24 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:24 am, Verified version information.
1OP-Act: February 17, 2022, 12:24 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:24 am, Verified global variables.
1OP-Act: February 17, 2022, 12:24 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:24 am, Verified installation.
1OP-Act: February 17, 2022, 12:24 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:24 am, Verified version information.
1OP-Act: February 17, 2022, 12:24 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:24 am, Verified global variables.
1OP-Act: February 17, 2022, 12:24 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:29 am, Verified installation.
1OP-Act: February 17, 2022, 12:29 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:29 am, Verified version information.
1OP-Act: February 17, 2022, 12:29 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:29 am, Verified global variables.
1OP-Act: February 17, 2022, 12:29 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:29 am, Verified installation.
1OP-Act: February 17, 2022, 12:29 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:29 am, Verified version information.
1OP-Act: February 17, 2022, 12:29 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:29 am, Verified global variables.
1OP-Act: February 17, 2022, 12:29 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:29 am, Verified installation.
1OP-Act: February 17, 2022, 12:29 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:29 am, Verified version information.
1OP-Act: February 17, 2022, 12:29 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:29 am, Generated tokens.
1OP-Act: February 17, 2022, 12:29 am, Authenticated UserName zelon88, UserID 7, SessionID 6c9195b6db20f586aaa7d2524b455fc9650498d5f783f8794bae5e04b1f42ad8.
1OP-Act: February 17, 2022, 12:29 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:29 am, Loaded library data.
1OP-Act: February 17, 2022, 12:29 am, Created user logs.
1OP-Act: February 17, 2022, 12:29 am, Created user cache.
1OP-Act: February 17, 2022, 12:29 am, Created user notifications.
1OP-Act: February 17, 2022, 12:29 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:29 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:30 am, Verified installation.
1OP-Act: February 17, 2022, 12:30 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:30 am, Verified version information.
1OP-Act: February 17, 2022, 12:30 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:30 am, Verified global variables.
1OP-Act: February 17, 2022, 12:30 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:30 am, Verified installation.
1OP-Act: February 17, 2022, 12:30 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:30 am, Verified version information.
1OP-Act: February 17, 2022, 12:30 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:30 am, Verified global variables.
1OP-Act: February 17, 2022, 12:30 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:30 am, Verified installation.
1OP-Act: February 17, 2022, 12:30 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:30 am, Verified version information.
1OP-Act: February 17, 2022, 12:30 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:30 am, Verified global variables.
1OP-Act: February 17, 2022, 12:30 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:30 am, Verified installation.
1OP-Act: February 17, 2022, 12:30 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:30 am, Verified version information.
1OP-Act: February 17, 2022, 12:30 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:30 am, Generated tokens.
1OP-Act: February 17, 2022, 12:30 am, Authenticated UserName zelon88, UserID 7, SessionID d170677690ead2cb877565da8def952a20fb742dfcb42f524ea0021f6faa2f0f.
1OP-Act: February 17, 2022, 12:30 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:30 am, Loaded library data.
1OP-Act: February 17, 2022, 12:30 am, Created user logs.
1OP-Act: February 17, 2022, 12:30 am, Created user cache.
1OP-Act: February 17, 2022, 12:30 am, Created user notifications.
1OP-Act: February 17, 2022, 12:30 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:30 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:31 am, Verified installation.
1OP-Act: February 17, 2022, 12:31 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:31 am, Verified version information.
1OP-Act: February 17, 2022, 12:31 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:31 am, Verified global variables.
1OP-Act: February 17, 2022, 12:31 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:32 am, Verified installation.
1OP-Act: February 17, 2022, 12:32 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:32 am, Verified version information.
1OP-Act: February 17, 2022, 12:32 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:32 am, Verified global variables.
1OP-Act: February 17, 2022, 12:32 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:39 am, Verified installation.
1OP-Act: February 17, 2022, 12:39 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:39 am, Verified version information.
1OP-Act: February 17, 2022, 12:39 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:39 am, Verified global variables.
1OP-Act: February 17, 2022, 12:39 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:39 am, Verified installation.
1OP-Act: February 17, 2022, 12:39 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:39 am, Verified version information.
1OP-Act: February 17, 2022, 12:39 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:39 am, Verified global variables.
1OP-Act: February 17, 2022, 12:39 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:39 am, Verified installation.
1OP-Act: February 17, 2022, 12:39 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:39 am, Verified version information.
1OP-Act: February 17, 2022, 12:39 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:39 am, Generated tokens.
1OP-Act: February 17, 2022, 12:39 am, Authenticated UserName zelon88, UserID 7, SessionID 2e9aba8b68b3d8f7ac7d4c85bc93a7689086b65c3b81399a776e3d8835e49306.
1OP-Act: February 17, 2022, 12:39 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:39 am, Loaded library data.
1OP-Act: February 17, 2022, 12:39 am, Created user logs.
1OP-Act: February 17, 2022, 12:39 am, Created user cache.
1OP-Act: February 17, 2022, 12:39 am, Created user notifications.
1OP-Act: February 17, 2022, 12:39 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:39 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:39 am, Verified installation.
1OP-Act: February 17, 2022, 12:39 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:39 am, Verified version information.
1OP-Act: February 17, 2022, 12:39 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:39 am, Verified global variables.
1OP-Act: February 17, 2022, 12:39 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:40 am, Verified installation.
1OP-Act: February 17, 2022, 12:40 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:40 am, Verified version information.
1OP-Act: February 17, 2022, 12:40 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:40 am, Verified global variables.
1OP-Act: February 17, 2022, 12:40 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:40 am, Verified installation.
1OP-Act: February 17, 2022, 12:40 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:40 am, Verified version information.
1OP-Act: February 17, 2022, 12:40 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:40 am, Verified global variables.
1OP-Act: February 17, 2022, 12:40 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:40 am, Verified installation.
1OP-Act: February 17, 2022, 12:40 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:40 am, Verified version information.
1OP-Act: February 17, 2022, 12:40 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:40 am, Verified global variables.
1OP-Act: February 17, 2022, 12:40 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:40 am, Verified installation.
1OP-Act: February 17, 2022, 12:40 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:40 am, Verified version information.
1OP-Act: February 17, 2022, 12:40 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:40 am, Generated tokens.
1ERROR!!! 8, February 17, 2022, 12:40 am, Invalid username or password!
OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Generated tokens.
1OP-Act: February 17, 2022, 12:41 am, Authenticated UserName zelon88, UserID 7, SessionID dc11438b5e1398b0df5b3d23145e4b7587b3a1be7defcefcd54a1a0b5459aa2a.
1OP-Act: February 17, 2022, 12:41 am, Loaded libraries.
1OP-Act: February 17, 2022, 12:41 am, Loaded library data.
1OP-Act: February 17, 2022, 12:41 am, Created user logs.
1OP-Act: February 17, 2022, 12:41 am, Created user cache.
1OP-Act: February 17, 2022, 12:41 am, Created user notifications.
1OP-Act: February 17, 2022, 12:41 am, Saved changes to the user cache file.
1OP-Act: February 17, 2022, 12:41 am, Loaded user cache.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Verified global variables.
1OP-Act: February 17, 2022, 12:41 am, Deferring execution to allow user login.
1OP-Act: February 17, 2022, 12:41 am, Verified installation.
1OP-Act: February 17, 2022, 12:41 am, Initialized variables to default values.
1OP-Act: February 17, 2022, 12:41 am, Verified version information.
1OP-Act: February 17, 2022, 12:41 am, Loaded cache file.
1OP-Act: February 17, 2022, 12:41 am, Generated tokens.
